regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.05,0.992,20,5,5.327031e-01,3.3450,0,2.141703e+00,4.755535e-16,2.706100e-02,9.834684e-02
weak,0.05,0.992,20,10,5.327031e-01,3.3450,0,2.141703e+00,4.755535e-16,2.378464e-07,1.269125e-01
weak,0.05,0.992,20,20,5.327031e-01,3.3450,1,2.141703e+00,4.755535e-16,1.341837e-21,1.269127e-01
weak,0.05,0.992,22,5,5.327031e-01,2.6571,0,6.772659e-01,1.503832e-16,3.406778e-03,1.017427e-01
weak,0.05,0.992,22,10,5.327031e-01,2.6571,0,6.772659e-01,1.503832e-16,9.468837e-09,1.053085e-01
weak,0.05,0.992,22,20,5.327031e-01,2.6571,1,6.772659e-01,1.503832e-16,5.341951e-24,1.053085e-01
weak,0.05,0.992,24,5,5.327031e-01,2.1106,0,2.141703e-01,4.755535e-17,4.288879e-04,8.617195e-02
weak,0.05,0.992,24,10,5.327031e-01,2.1106,0,2.141703e-01,4.755535e-17,3.769612e-10,8.661760e-02
weak,0.05,0.992,24,20,5.327031e-01,2.1106,1,2.141703e-01,4.755535e-17,2.126669e-26,8.661760e-02
weak,0.05,0.992,26,5,5.327031e-01,1.6765,0,8.047963e-02,1.787007e-17,5.399379e-05,7.066970e-02
weak,0.05,0.992,26,10,5.327031e-01,1.6765,1,8.047963e-02,1.787007e-17,1.500710e-11,7.072545e-02
weak,0.05,0.992,26,20,5.327031e-01,1.6765,1,8.047963e-02,1.787007e-17,8.466422e-29,7.072545e-02
weak,0.05,0.992,28,5,5.327031e-01,1.3317,0,3.059750e-02,6.794010e-18,6.797415e-06,5.740100e-02
weak,0.05,0.992,28,10,5.327031e-01,1.3317,1,3.059750e-02,6.794010e-18,5.974432e-13,5.740798e-02
weak,0.05,0.992,28,20,5.327031e-01,1.3317,1,3.059750e-02,6.794010e-18,3.370543e-31,5.740798e-02
weak,0.05,0.992,30,5,5.327031e-01,1.0578,0,1.163285e-02,2.583011e-18,8.557438e-07,4.637925e-02
weak,0.05,0.992,30,10,5.327031e-01,1.0578,1,1.163285e-02,2.583011e-18,2.378464e-14,4.638013e-02
weak,0.05,0.992,30,20,5.327031e-01,1.0578,1,1.163285e-02,2.583011e-18,1.341837e-33,4.638013e-02
weak,0.05,0.992,32,5,5.327031e-01,0.8402,0,4.511903e-03,1.001844e-18,1.077318e-07,3.733486e-02
weak,0.05,0.992,32,10,5.327031e-01,0.8402,1,4.511903e-03,1.001844e-18,9.468837e-16,3.733497e-02
weak,0.05,0.992,32,20,5.327031e-01,0.8402,1,4.511903e-03,1.001844e-18,5.341951e-36,3.733497e-02
weak,0.05,0.992,34,5,5.327031e-01,0.6674,0,1.796221e-03,3.988412e-19,1.356263e-08,2.997138e-02
weak,0.05,0.992,34,10,5.327031e-01,0.6674,1,1.796221e-03,3.988412e-19,3.769612e-17,2.997139e-02
weak,0.05,0.992,34,20,5.327031e-01,0.6674,1,1.796221e-03,3.988412e-19,2.126669e-38,2.997139e-02
weak,0.05,0.992,36,5,5.327031e-01,0.5302,0,7.150885e-04,1.587815e-19,1.707433e-09,2.401117e-02
weak,0.05,0.992,36,10,5.327031e-01,0.5302,1,7.150885e-04,1.587815e-19,1.500710e-18,2.401117e-02
weak,0.05,0.992,36,20,5.327031e-01,0.5302,1,7.150885e-04,1.587815e-19,8.466422e-41,2.401117e-02
weak,0.05,0.992,38,5,5.327031e-01,0.4211,1,2.846818e-04,6.321207e-20,2.149531e-10,1.920773e-02
weak,0.05,0.992,38,10,5.327031e-01,0.4211,1,2.846818e-04,6.321207e-20,5.974432e-20,1.920773e-02
weak,0.05,0.992,38,20,5.327031e-01,0.4211,1,2.846818e-04,6.321207e-20,3.370543e-43,1.920773e-02
weak,0.05,0.992,40,5,5.327031e-01,0.3345,1,1.133339e-04,2.516518e-20,2.706100e-11,1.534895e-02
weak,0.05,0.992,40,10,5.327031e-01,0.3345,1,1.133339e-04,2.516518e-20,2.378464e-21,1.534895e-02
weak,0.05,0.992,40,20,5.327031e-01,0.3345,1,1.133339e-04,2.516518e-20,1.341837e-45,1.534895e-02
weak,0.05,0.992,42,5,5.327031e-01,0.2657,1,5.096094e-05,1.131560e-20,3.406778e-12,1.225624e-02
weak,0.05,0.992,42,10,5.327031e-01,0.2657,1,5.096094e-05,1.131560e-20,9.468837e-23,1.225624e-02
weak,0.05,0.992,42,20,5.327031e-01,0.2657,1,5.096094e-05,1.131560e-20,5.341951e-48,1.225624e-02
weak,0.05,0.992,44,5,5.327031e-01,0.2111,1,2.554097e-05,5.671235e-21,4.288879e-13,9.781630e-03
