regime,sigma_s,xi,snr_db,A0,z,ladder_K,admissible
weak,0.05,0.992,20,5.327031e-01,3.3450,20,1
weak,0.05,0.992,22,5.327031e-01,2.6571,20,1
weak,0.05,0.992,24,5.327031e-01,2.1106,20,1
weak,0.05,0.992,26,5.327031e-01,1.6765,10,1
weak,0.05,0.992,28,5.327031e-01,1.3317,10,1
weak,0.05,0.992,30,5.327031e-01,1.0578,10,1
weak,0.05,0.992,32,5.327031e-01,0.8402,10,1
weak,0.05,0.992,34,5.327031e-01,0.6674,10,1
weak,0.05,0.992,36,5.327031e-01,0.5302,10,1
weak,0.05,0.992,38,5.327031e-01,0.4211,5,1
weak,0.05,0.992,40,5.327031e-01,0.3345,5,1
weak,0.05,0.992,42,5.327031e-01,0.2657,5,1
weak,0.05,0.992,44,5.327031e-01,0.2111,5,1
weak,0.05,0.992,46,5.327031e-01,0.1676,5,1
weak,0.05,0.992,48,5.327031e-01,0.1332,5,1
weak,0.05,0.992,50,5.327031e-01,0.1058,5,1
weak,0.05,1.266,20,3.156681e-01,5.6449,20,1
weak,0.05,1.266,22,3.156681e-01,4.4839,20,1
weak,0.05,1.266,24,3.156681e-01,3.5617,20,1
weak,0.05,1.266,26,3.156681e-01,2.8291,20,1
weak,0.05,1.266,28,3.156681e-01,2.2473,20,1
weak,0.05,1.266,30,3.156681e-01,1.7851,10,1
weak,0.05,1.266,32,3.156681e-01,1.4179,10,1
weak,0.05,1.266,34,3.156681e-01,1.1263,10,1
weak,0.05,1.266,36,3.156681e-01,0.8947,10,1
weak,0.05,1.266,38,3.156681e-01,0.7106,10,1
weak,0.05,1.266,40,3.156681e-01,0.5645,10,1
weak,0.05,1.266,42,3.156681e-01,0.4484,5,1
weak,0.05,1.266,44,3.156681e-01,0.3562,5,1
weak,0.05,1.266,46,3.156681e-01,0.2829,5,1
weak,0.05,1.266,48,3.156681e-01,0.2247,5,1
weak,0.05,1.266,50,3.156681e-01,0.1785,5,1
weak,0.05,1.548,20,2.096053e-01,8.5013,-1,0
weak,0.05,1.548,22,2.096053e-01,6.7528,20,1
weak,0.05,1.548,24,2.096053e-01,5.3639,20,1
weak,0.05,1.548,26,2.096053e-01,4.2607,20,1
weak,0.05,1.548,28,2.096053e-01,3.3844,20,1
weak,0.05,1.548,30,2.096053e-01,2.6883,20,1
weak,0.05,1.548,32,2.096053e-01,2.1354,20,1
weak,0.05,1.548,34,2.096053e-01,1.6962,10,1
weak,0.05,1.548,36,2.096053e-01,1.3474,10,1
weak,0.05,1.548,38,2.096053e-01,1.0702,10,1
weak,0.05,1.548,40,2.096053e-01,0.8501,10,1
weak,0.05,1.548,42,2.096053e-01,0.6753,10,1
weak,0.05,1.548,44,2.096053e-01,0.5364,10,1
weak,0.05,1.548,46,2.096053e-01,0.4261,5,1
weak,0.05,1.548,48,2.096053e-01,0.3384,5,1
weak,0.05,1.548,50,2.096053e-01,0.2688,5,1
weak,0.05,1.967,20,1.294337e-01,13.7670,-1,0
weak,0.05,1.967,22,1.294337e-01,10.9355,-1,0
weak,0.05,1.967,24,1.294337e-01,8.6864,-1,0
weak,0.05,1.967,26,1.294337e-01,6.8998,20,1
weak,0.05,1.967,28,1.294337e-01,5.4807,20,1
weak,0.05,1.967,30,1.294337e-01,4.3535,20,1
weak,0.05,1.967,32,1.294337e-01,3.4581,20,1
weak,0.05,1.967,34,1.294337e-01,2.7469,20,1
weak,0.05,1.967,36,1.294337e-01,2.1819,20,1
weak,0.05,1.967,38,1.294337e-01,1.7332,10,1
weak,0.05,1.967,40,1.294337e-01,1.3767,10,1
weak,0.05,1.967,42,1.294337e-01,1.0935,10,1
weak,0.05,1.967,44,1.294337e-01,0.8686,10,1
weak,0.05,1.967,46,1.294337e-01,0.6900,10,1
weak,0.05,1.967,48,1.294337e-01,0.5481,10,1
weak,0.05,1.967,50,1.294337e-01,0.4353,5,1
weak,0.05,2.511,20,7.934519e-02,22.4577,-1,0
weak,0.05,2.511,22,7.934519e-02,17.8388,-1,0
weak,0.05,2.511,24,7.934519e-02,14.1698,-1,0
weak,0.05,2.511,26,7.934519e-02,11.2555,-1,0
weak,0.05,2.511,28,7.934519e-02,8.9406,-1,0
weak,0.05,2.511,30,7.934519e-02,7.1017,20,1
weak,0.05,2.511,32,7.934519e-02,5.6411,20,1
weak,0.05,2.511,34,7.934519e-02,4.4809,20,1
weak,0.05,2.511,36,7.934519e-02,3.5593,20,1
weak,0.05,2.511,38,7.934519e-02,2.8273,20,1
weak,0.05,2.511,40,7.934519e-02,2.2458,20,1
weak,0.05,2.511,42,7.934519e-02,1.7839,10,1
weak,0.05,2.511,44,7.934519e-02,1.4170,10,1
weak,0.05,2.511,46,7.934519e-02,1.1256,10,1
weak,0.05,2.511,48,7.934519e-02,0.8941,10,1
weak,0.05,2.511,50,7.934519e-02,0.7102,10,1
weak,0.05,3.104,20,5.190725e-02,34.3287,-1,0
weak,0.05,3.104,22,5.190725e-02,27.2683,-1,0
weak,0.05,3.104,24,5.190725e-02,21.6600,-1,0
weak,0.05,3.104,26,5.190725e-02,17.2051,-1,0
weak,0.05,3.104,28,5.190725e-02,13.6665,-1,0
weak,0.05,3.104,30,5.190725e-02,10.8557,-1,0
