regime,sigma_s,xi,snr_db,aber_system,aber_system_quad,ref_spread_percent,floor_fast,floor_quad,resolved,f_H_mass,E_H_numeric,E_H_analytic,A0
weak,0.05,0.992,16,3.29780874e-05,3.29762295e-05,0.005634,4.159547e-19,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,18,3.82416146e-06,3.82397330e-06,0.004920,0.000000e+00,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,20,3.47316223e-07,3.47301488e-07,0.004242,0.000000e+00,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,22,2.52555918e-08,2.52546792e-08,0.003614,0.000000e+00,6.024008e-18,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,24,1.50865575e-09,1.50860981e-09,0.003045,8.822316e-18,3.489496e-18,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,26,7.60745215e-11,7.60726020e-11,0.002523,4.813172e-18,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,28,3.32672607e-12,3.32665033e-12,0.002277,2.336411e-22,1.377783e-18,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,30,1.29414345e-13,1.29408134e-13,0.004799,0.000000e+00,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,32,4.58448517e-15,4.59042587e-15,0.129583,0.000000e+00,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,34,1.49264750e-16,1.52509132e-16,2.173576,1.280477e-18,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,36,5.64831594e-18,2.21755220e-18,60.739586,0.000000e+00,2.399975e-18,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,38,0.00000000e+00,0.00000000e+00,nan,1.557354e-18,1.021382e-18,0,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,40,6.52141428e-20,3.08701646e-19,373.366103,9.200864e-22,0.000000e+00,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,42,2.96303015e-20,0.00000000e+00,100.000000,1.589070e-24,1.178252e-19,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,44,0.00000000e+00,0.00000000e+00,nan,6.870834e-21,5.094665e-20,0,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,46,0.00000000e+00,1.76467279e-21,nan,2.143687e-21,4.805843e-29,0,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,0.992,48,5.87474873e-22,0.00000000e+00,100.000000,0.000000e+00,1.712864e-22,1,1.000002,4.227404,4.227396,5.327031e-01
weak,0.05,1.548,16,1.23496335e-03,1.23479192e-03,0.013881,1.848326e-18,4.931508e-19,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,18,1.89212592e-04,1.89187737e-04,0.013136,8.231978e-18,6.813116e-164,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,20,1.88941475e-05,1.88918152e-05,0.012344,7.617195e-242,2.089010e-23,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,22,1.19650767e-06,1.19636981e-06,0.011522,1.998721e-21,9.649207e-20,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,24,4.73888626e-08,4.73837953e-08,0.010693,0.000000e+00,2.724542e-18,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,26,1.17199184e-09,1.17187598e-09,0.009886,0.000000e+00,5.379070e-19,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,28,1.82585526e-11,1.82568888e-11,0.009112,8.053776e-19,2.034493e-18,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,30,1.82222319e-13,1.82209770e-13,0.006886,1.049077e-18,7.677145e-20,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,32,1.18587520e-15,1.21443607e-15,2.408422,5.729296e-18,0.000000e+00,1,0.999993,2.366218,2.366234,2.096053e-01
