regime,variant,guard,n,median_selected_aber,best_selected_aber,median_objective,mean_objective,solved_fraction,cycles_with_invalid_optimum,pct_invalid,candidates_rejected_by_guard,candidates_rejected_by_z_test
weak,full,three_part,60,0.06912177450747439,0.009333227607818476,0.4792829477285061,0.4805258255467056,1.0,0,0.0,6437,6437
weak,full,threshold_only,60,0.07510242254532196,0.009333227607818476,0.4808717662885634,0.482056312036813,1.0,0,0.0,9739,0
weak,no_chaotic_init,three_part,60,0.06898791543621709,0.009331696946141683,0.47862542492679055,0.4806104973809959,0.9166666666666666,0,0.0,13639,13639
weak,no_chaotic_init,threshold_only,60,0.07285240750228475,0.009331696946141683,0.479422158906272,0.4817700106584345,0.8833333333333333,0,0.0,16106,0
weak,no_levy_flight,three_part,60,0.07019643219163106,0.009334779069055936,0.47931371349161184,0.47979308110269464,1.0,0,0.0,7063,7063
weak,no_levy_flight,threshold_only,60,0.07124937807490793,0.009343715586070642,0.47938626828433173,0.4811894812202978,0.95,0,0.0,9880,0
weak,no_ga_refinement,three_part,60,0.07028929065248465,0.009333227607818476,0.4767534756374568,0.47916957374846736,1.0,0,0.0,11053,11053
weak,no_ga_refinement,threshold_only,60,0.0712549531956126,0.009333227607818476,0.4812476291788931,0.4821172772106266,1.0,0,0.0,16785,0
weak,fixed_fidelity,three_part,60,0.07028929065248465,0.009331457822493807,0.47933446903377697,0.48087746337063103,1.0,0,0.0,7608,7534
weak,fixed_fidelity,threshold_only,60,0.07125472427938978,0.009333227607818476,0.47602526780239746,0.47759188319606355,1.0,0,0.0,4302,0
moderate,full,three_part,60,0.18666494644382883,0.03366225092219144,0.4826078520227792,0.4840923044885933,1.0,0,0.0,4782,4782
moderate,full,threshold_only,60,0.18931177261055698,0.03374639262802748,0.4810917241470577,0.48177431262900466,1.0,0,0.0,2677,0
moderate,no_chaotic_init,three_part,60,0.2169095335997095,0.03387625140172437,0.47925153842883694,0.48048083018177346,1.0,0,0.0,2206,2206
moderate,no_chaotic_init,threshold_only,60,0.20007435169223176,0.03371245976974302,0.4805694773390784,0.481798594418536,1.0,0,0.0,3589,0
moderate,no_levy_flight,three_part,60,0.19180271254191894,0.033677709153458774,0.4885283861011262,0.48752812468383805,1.0,0,0.0,7925,7925
moderate,no_levy_flight,threshold_only,60,0.16385142421292315,0.033677709153458774,0.49115100399132294,0.4899786480033961,0.8833333333333333,0,0.0,17046,0
moderate,no_ga_refinement,three_part,60,0.14254944513536438,0.04311446780085568,0.4916469496604289,0.49152393902553615,0.7333333333333333,0,0.0,29487,29487
moderate,no_ga_refinement,threshold_only,60,0.13947047196254803,0.04311446780085568,0.492121920550789,0.49172066779127543,0.75,0,0.0,29825,0
moderate,fixed_fidelity,three_part,60,0.24997730689919562,0.033668505070792276,0.4873297147150075,0.4870191335012421,0.9666666666666667,0,0.0,10824,10697
moderate,fixed_fidelity,threshold_only,60,0.190273229186257,0.03366225092219144,0.4826093180778963,0.48353784753503415,1.0,0,0.0,3844,0
strong,full,three_part,60,0.22355617152426543,0.06554471926382646,0.48760424074621767,0.48643640175397146,1.0,0,0.0,3694,3694
strong,full,threshold_only,60,0.22628480804023,0.0654919513152773,0.48469966734808845,0.48478943847491374,1.0,0,0.0,2516,0
strong,no_chaotic_init,three_part,60,0.23082874998549266,0.06547649288413748,0.487454084637808,0.4881755004793348,1.0,0,0.0,5826,5826
strong,no_chaotic_init,threshold_only,60,0.2295116109246017,0.0655851728126069,0.4842691440680139,0.48517187771094855,1.0,0,0.0,2279,0
strong,no_levy_flight,three_part,60,0.2519508647206784,0.06878310442618751,0.4943228934062147,0.492817346757951,1.0,0,0.0,10247,10247
strong,no_levy_flight,threshold_only,60,0.22377807490066792,0.06878310442618751,0.4955278981294613,0.4940198197649465,0.8833333333333333,1,1.6666666666666667,19040,0
strong,no_ga_refinement,three_part,60,0.2520851360948836,0.06879392769685146,0.4946996520646857,0.4934797757973888,1.0,0,0.0,18213,18213
strong,no_ga_refinement,threshold_only,60,0.22399445381984787,0.06879392769685146,0.4950730395166146,0.49395655918738063,0.9833333333333333,1,1.6666666666666667,20571,0
strong,fixed_fidelity,three_part,60,0.23314496043423744,0.06553706097402806,0.49264930707964655,0.49177468879700015,1.0,0,0.0,10723,10723
strong,fixed_fidelity,threshold_only,60,0.2234721658513349,0.06566094748814821,0.4864309454996797,0.4865616606545162,1.0,0,0.0,3260,0
