regime,variant,guard,n,median_selected_aber,best_selected_aber,median_objective,mean_objective,solved_fraction,cycles_with_invalid_optimum,pct_invalid,candidates_rejected_by_guard,candidates_rejected_by_z_test
weak,full,three_part,60,0.16382465241919494,0.00956238816359592,0.01369973826240391,0.023880260667650567,1.0,0,0.0,13110,13110
weak,full,threshold_only,60,0.16382465241919494,0.00956238816359592,0.01369973826240391,0.023880260667650567,1.0,0,0.0,13110,0
weak,no_chaotic_init,three_part,60,0.16327280891421786,0.009333534614007249,0.013250554507526319,0.020319958699557297,1.0,0,0.0,13859,13859
weak,no_chaotic_init,threshold_only,60,0.16327280891421786,0.009333534614007249,0.013250554507526319,0.020319958699557297,1.0,0,0.0,13859,0
weak,no_levy_flight,three_part,60,0.16412113694948222,0.00934389702309614,0.014091185127055872,0.020335905668221087,1.0,0,0.0,12863,12863
weak,no_levy_flight,threshold_only,60,0.16412113694948222,0.00934389702309614,0.014091185127055872,0.020335905668221087,1.0,0,0.0,12863,0
weak,no_ga_refinement,three_part,60,0.16772629893109248,0.009339387128723842,0.025354607221382358,0.031944848072622434,1.0,0,0.0,28095,28095
weak,no_ga_refinement,threshold_only,60,0.16772629893109248,0.009339387128723842,0.025354607221382358,0.031944848072622434,1.0,0,0.0,28095,0
weak,fixed_fidelity,three_part,60,0.16423002797050304,0.010234580106259508,0.010439002182739892,-10.01358056421742,1.0,26,43.333333333333336,12772,12126
weak,fixed_fidelity,threshold_only,60,0.16423002797050304,0.010234580106259508,0.010439002182739892,-10.01358056421742,1.0,26,43.333333333333336,12772,0
moderate,full,three_part,60,0.18501998327465027,0.0336789741733009,0.18798512819190144,0.18460196798096368,1.0,0,0.0,8230,8230
moderate,full,threshold_only,60,0.18501998327465027,0.0336789741733009,0.18798512819190144,0.18460196798096368,1.0,0,0.0,8230,0
moderate,no_chaotic_init,three_part,60,0.18669303068975313,0.03367259091862995,0.12458448022424048,0.17464318337479517,1.0,0,0.0,9199,9199
moderate,no_chaotic_init,threshold_only,60,0.18669303068975313,0.03367259091862995,0.12458448022424048,0.17464318337479517,1.0,0,0.0,9199,0
moderate,no_levy_flight,three_part,60,0.19177180939813396,0.03366293190398295,0.18902359453845552,0.18463194411659126,1.0,0,0.0,8177,8177
moderate,no_levy_flight,threshold_only,60,0.19177180939813396,0.03366293190398295,0.18902359453845552,0.18463194411659126,1.0,0,0.0,8177,0
moderate,no_ga_refinement,three_part,60,0.1879351842946877,0.033719583576596435,0.19238127544221567,0.18670565840310233,1.0,0,0.0,19339,19339
moderate,no_ga_refinement,threshold_only,60,0.1879351842946877,0.033719583576596435,0.19238127544221567,0.18670565840310233,1.0,0,0.0,19339,0
moderate,fixed_fidelity,three_part,60,0.1850147647846146,0.03368843340784966,0.18798512808598103,0.18460974855271758,1.0,0,0.0,8215,8211
moderate,fixed_fidelity,threshold_only,60,0.1850147647846146,0.03368843340784966,0.18798512808598103,0.18460974855271758,1.0,0,0.0,8215,0
strong,full,three_part,60,0.218982742256779,0.0655685744100292,0.2236020999974424,0.21475897407196134,1.0,0,0.0,6614,6382
strong,full,threshold_only,60,0.218982742256779,0.0655685744100292,0.2236020999974424,0.21475897407196134,1.0,0,0.0,6614,0
strong,no_chaotic_init,three_part,60,0.21929909151238414,0.06551337518998662,0.1645065145548107,0.20780199751918907,1.0,0,0.0,6457,6245
strong,no_chaotic_init,threshold_only,60,0.21929909151238414,0.06551337518998662,0.1645065145548107,0.20780199751918907,1.0,0,0.0,6457,0
strong,no_levy_flight,three_part,60,0.22056516913399005,0.06551998168623469,0.22438180573990385,0.21477009867742353,1.0,0,0.0,6732,6497
strong,no_levy_flight,threshold_only,60,0.22056516913399005,0.06551998168623469,0.22438180573990385,0.21477009867742353,1.0,0,0.0,6732,0
strong,no_ga_refinement,three_part,60,0.22126161768761093,0.06558390909538381,0.22773571676280674,0.2167272035040912,1.0,0,0.0,14381,13994
strong,no_ga_refinement,threshold_only,60,0.22126161768761093,0.06558390909538381,0.22773571676280674,0.2167272035040912,1.0,0,0.0,14381,0
strong,fixed_fidelity,three_part,60,0.21914830491575715,0.0655685744100292,0.22360209994026725,0.21474412626819114,1.0,0,0.0,6604,6368
strong,fixed_fidelity,threshold_only,60,0.21914830491575715,0.0655685744100292,0.22360209994026725,0.21474412626819114,1.0,0,0.0,6604,0
