sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20712839634740177,9,0.15296915100158834
0.1,0.007188864364,800001,0.2043477857437368,12,0.15020680593968416
0.1,0.0248800395,800002,0.20681469959911,12,0.15244167090816024
0.1,0.0221793804,800003,0.20611061435063485,15,0.15194394541485406
0.1,0.01848106178,800004,0.20550491390142367,17,0.15135346563888941
0.1,0.03142242103,800005,0.20830800785633996,16,0.15386871399878013
0.1,0.0310509311,800006,0.20805071642455175,16,0.15377773319870569
0.1,0.03675466264,800007,0.20974793541010797,15,0.15525849238269893
0.1,0.03700453326,800008,0.2098552649329774,14,0.15532768338101141
0.1,0.04057261234,800009,0.21064252024004251,15,0.15637399196668539
0.1,0.02859757958,800010,0.20747843745106886,16,0.15321516065722565
0.1,0.03821258868,800011,0.21037348388344204,15,0.15567274078481716
0.1,0.0210063303,800012,0.20611257554638551,16,0.15174513151031149
0.1,0.01188283019,800013,0.20483918048143726,14,0.15056057755370683
0.1,0.04828347272,800014,0.2137272069192995,15,0.15892173948740784
0.1,0.03064076818,800015,0.20816409307377753,11,0.15368186889526203
0.1,0.03883985278,800016,0.2102326460192501,13,0.15585696359641563
0.1,0.01092681137,800017,0.2050373769833764,14,0.15047711584645682
0.1,0.004377521349,800018,0.20412336540418452,14,0.15007831600641247
0.1,0.02154861535,800019,0.20584707165099109,14,0.15183669354456353
0.1,0.03765087566,800020,0.20964984504930667,14,0.15551328071485809
0.1,0.03729671432,800021,0.21022691281794431,17,0.15541047342833966
0.1,0.004768162221,800022,0.20419877871618097,15,0.15009052386733138
0.1,0.0107195281,800023,0.2046726047545773,16,0.15045921206257523
0.1,0.03024711087,800024,0.2074960870363505,14,0.15359057785684388
0.1,0.06471081095,800025,0.2207857687466494,16,0.1655401062858457
0.1,0.04631810424,800026,0.21363159405382184,14,0.15823729171464537
0.1,0.01981325651,800027,0.2058666106132066,16,0.15155327148851327
0.1,0.01721432348,800028,0.20533711928881199,14,0.15117461546900821
0.1,0.01822256313,800029,0.2054585742618332,16,0.15131605511213425
0.1,0.02044234923,800030,0.2058398602503293,15,0.15165268074688146
0.1,0.02972990121,800031,0.20785902365997008,15,0.15346762096726277
0.1,0.02251236156,800032,0.20622768942731398,16,0.15200165358426443
0.1,0.03866941375,800033,0.21001370639040765,15,0.15580719450326447
0.1,0.05223901756,800034,0.21523867564688967,15,0.1603748568263437
0.1,0.01166163844,800035,0.20477891635617859,16,0.15054142331767897
0.1,0.01817512215,800036,0.20547835953954269,15,0.15131142641994555
0.1,0.03791306068,800037,0.21012214791316924,14,0.1555863564585877
0.1,0.0569420759,800038,0.21735048153537281,14,0.16222073675416881
0.1,0.03898905098,800039,0.21068538394147407,13,0.15590215366615731
0.1,0.01857526638,800040,0.20557967569613961,12,0.15136637146857679
0.1,0.03106607447,800041,0.20851344481557466,11,0.15378460302675909
0.1,0.04513295773,800042,0.21247706421541027,14,0.15783571686015233
