sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.21158550537468676,11,0.13942244623759731
0.1,0.007188864364,800001,0.2084615810422005,15,0.13679447571817421
0.1,0.0248800395,800002,0.21058062989429716,15,0.13891905180541089
0.1,0.0221793804,800003,0.21021870493857869,15,0.13844908163300887
0.1,0.01848106178,800004,0.20952691109698723,15,0.13788532140813076
0.1,0.03142242103,800005,0.212213222275564,16,0.14027723192817357
0.1,0.0310509311,800006,0.21207796714383262,14,0.14019477559825314
0.1,0.03675466264,800007,0.21343052547997071,15,0.14160166218261447
0.1,0.03700453326,800008,0.21399624561143163,15,0.14166720464029131
0.1,0.04057261234,800009,0.21517214751136657,15,0.14266403813530526
0.1,0.02859757958,800010,0.21147000082725745,15,0.13965379996325966
0.1,0.03821258868,800011,0.21409251421411754,14,0.1419966847427305
0.1,0.0210063303,800012,0.20983433892045322,17,0.13825801854759157
0.1,0.01188283019,800013,0.20875051810957443,16,0.13713417849705964
0.1,0.04828347272,800014,0.21792757316014133,16,0.14509645998859425
0.1,0.03064076818,800015,0.21228766026194668,15,0.14009835511185212
0.1,0.03883985278,800016,0.21453215473512485,15,0.14216961394499836
0.1,0.01092681137,800017,0.20843988127111149,14,0.13705127843062229
0.1,0.004377521349,800018,0.20859084769681124,16,0.13667235405868935
0.1,0.02154861535,800019,0.20992791602236743,16,0.13834465704184293
0.1,0.03765087566,800020,0.21415743115458152,16,0.14184197613213809
0.1,0.03729671432,800021,0.21399607785808963,12,0.1417479210302868
0.1,0.004768162221,800022,0.20814619678583476,13,0.13668371394685461
0.1,0.0107195281,800023,0.20867183457784261,14,0.1370322644894128
0.1,0.03024711087,800024,0.21155909904311138,15,0.14001142869022615
0.1,0.06471081095,800025,0.22524750424980983,17,0.15141879061968877
0.1,0.04631810424,800026,0.21725246828795119,15,0.14444136675760272
0.1,0.01981325651,800027,0.20996766098608824,13,0.13807649493726187
0.1,0.01721432348,800028,0.20934736976189031,16,0.13771497076671402
0.1,0.01822256313,800029,0.20946033975141082,15,0.13784893942296367
0.1,0.02044234923,800030,0.20998964444683393,15,0.13817044878868681
0.1,0.02972990121,800031,0.21184896871570341,16,0.1398975542554412
0.1,0.02251236156,800032,0.2100229035681225,15,0.13850167790647902
0.1,0.03866941375,800033,0.21494295500996088,16,0.14212298808850302
0.1,0.05223901756,800034,0.21972551268795387,16,0.14648050810834751
0.1,0.01166163844,800035,0.20847233806001744,16,0.1371121780051737
0.1,0.01817512215,800036,0.20936541473738274,15,0.13784473441677914
0.1,0.03791306068,800037,0.21423700752869029,15,0.14191525894970963
0.1,0.0569420759,800038,0.22158316542139625,15,0.14824498299617203
0.1,0.03898905098,800039,0.21460547617656706,15,0.14221361057351548
0.1,0.01857526638,800040,0.20956383751665839,16,0.13789796048996322
0.1,0.03106607447,800041,0.21215576198615752,15,0.14019600369035101
0.1,0.04513295773,800042,0.21677693385408284,16,0.14405745361836211
0.1,0.05374549761,800043,0.22010633987431535,15,0.14703135490467237
0.1,0.02353647923,800044,0.21044211447444147,17,0.13867664307630354
0.1,0.04764605362,800045,0.21740555530031178,15,0.14487952729649961
0.1,0.02807616885,800046,0.21146457795989868,16,0.13954473147255753
0.1,0.03931953966,800047,0.21478001397863783,13,0.14230556617972626
0.1,0.02716885996,800048,0.21105682015740926,14,0.13936204974195021
0.1,0.00698118721,800049,0.20826292741237995,15,0.13678178313272307
0.1,0.04088089995,800050,0.21533264121383414,15,0.14275590532382201
0.1,0.02407776435,800051,0.21030632660742341,15,0.1387759043287447
0.1,0.05023960699,800052,0.21866474781723644,16,0.14576851908192448
0.1,0.03368755698,800053,0.21302198825020199,15,0.14081555099931997
0.1,0.01511315076,800054,0.20946939661333705,15,0.13746152105075712
0.1,0.03312692105,800055,0.21271030116567366,14,0.14068011537777866
0.1,0.04923284634,800056,0.21824034304507367,11,0.1454206955080716
0.1,0.0510249264,800057,0.21929940699340164,12,0.1460452853619531
