sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20607705685240743,25,0.15763377325557026
0.1,0.007188864364,800001,0.20316723335432132,25,0.15483091397381704
0.1,0.0248800395,800002,0.20546645809607433,25,0.157097265721729
0.1,0.0221793804,800003,0.20495304589410709,25,0.15659482195076971
0.1,0.01848106178,800004,0.20387414981034241,25,0.15599690091217466
0.1,0.03142242103,800005,0.20695272429976455,25,0.15854811367230595
0.1,0.0310509311,800006,0.20678543247678896,25,0.15845645190879307
0.1,0.03675466264,800007,0.20837819930024229,25,0.15995803107124232
0.1,0.03700453326,800008,0.2083857969420049,25,0.16002977652719691
0.1,0.04057261234,800009,0.2092994522591618,25,0.16108973289540618
0.1,0.02859757958,800010,0.2060452801994252,25,0.15788339083264344
0.1,0.03821258868,800011,0.20877528402416731,25,0.16037773968045321
0.1,0.0210063303,800012,0.20466053799189696,25,0.15639367173860494
0.1,0.01188283019,800013,0.2031391023559331,25,0.15518930626419197
0.1,0.04828347272,800014,0.21212071044063216,25,0.16367407435578049
0.1,0.03064076818,800015,0.20641862297904226,25,0.15835586139026231
0.1,0.03883985278,800016,0.20897831268779204,25,0.16056622450537825
0.1,0.01092681137,800017,0.20283958099115879,25,0.15510290047081315
0.1,0.004377521349,800018,0.20288702467386188,25,0.15469911074581871
0.1,0.02154861535,800019,0.20479642818495369,25,0.15648572781548889
0.1,0.03765087566,800020,0.20861457016591831,25,0.16021394224038893
0.1,0.03729671432,800021,0.20846933314257537,25,0.16011339467644772
0.1,0.004768162221,800022,0.20268868556303685,25,0.1547129407548776
0.1,0.0107195281,800023,0.20333723896040665,25,0.15508297500541723
0.1,0.03024711087,800024,0.20633550397286596,25,0.15826368642796584
0.1,0.06471081095,800025,0.21919338270263308,25,0.17038278443416116
0.1,0.04631810424,800026,0.21152974427248192,25,0.1629824498046126
0.1,0.01981325651,800027,0.20426819677522173,25,0.15619828742559644
0.1,0.01721432348,800028,0.20407711190010361,25,0.15581205617874941
0.1,0.01822256313,800029,0.20410087389524553,25,0.15595851300525196
0.1,0.02044234923,800030,0.20471222729275193,25,0.15630038165436583
0.1,0.02972990121,800031,0.20644324678483528,25,0.15814297249806453
0.1,0.02251236156,800032,0.20445175753754002,25,0.15665256193058383
0.1,0.03866941375,800033,0.20913864298876089,25,0.16051280501215751
0.1,0.05223901756,800034,0.21392186416237802,25,0.16514662934942081
0.1,0.01166163844,800035,0.20333618673097972,25,0.15516675595513749
0.1,0.01817512215,800036,0.20411651755239632,25,0.15594831644702178
0.1,0.03791306068,800037,0.20864046704603306,25,0.16029118140816936
0.1,0.0569420759,800038,0.21626735425151639,25,0.16701960289070283
0.1,0.03898905098,800039,0.20901140187768263,25,0.16061046847050292
0.1,0.01857526638,800040,0.20429568690750544,25,0.15600560598350216
0.1,0.03106607447,800041,0.2069138632377874,25,0.15845851731680188
0.1,0.04513295773,800042,0.21122245622826907,25,0.16257280945746622
0.1,0.05374549761,800043,0.21468309237750774,25,0.16573261027078834
0.1,0.02353647923,800044,0.20531175316336836,25,0.15684056373874006
0.1,0.04764605362,800045,0.21216642702139876,25,0.16344691959382174
0.1,0.02807616885,800046,0.20594245897152033,25,0.15776626724068482
0.1,0.03931953966,800047,0.20950533982000263,25,0.16070699607091518
0.1,0.02716885996,800048,0.20522663215725215,25,0.15756791868409875
0.1,0.00698118721,800049,0.20275945099148412,25,0.15481892805636618
0.1,0.04088089995,800050,0.20925174675849612,25,0.1611882233787543
0.1,0.02407776435,800051,0.20521679518448643,25,0.1569416444064545
0.1,0.05023960699,800052,0.21323987416530402,25,0.164391350101533
0.1,0.03368755698,800053,0.20760401273843576,25,0.1591212098845258
0.1,0.01511315076,800054,0.20370394377689713,25,0.15554313504142753
0.1,0.03312692105,800055,0.20713662465568752,25,0.1589784227428091
0.1,0.04923284634,800056,0.21271671487272684,25,0.16402232652829177
0.1,0.0510249264,800057,0.21351976998143699,25,0.16468384155024782
0.1,0.03487509509,800058,0.20809339755503845,25,0.15943699290221711
0.1,0.03202207048,800059,0.20670858385035185,25,0.15869680077380297
0.1,0.007325868558,800060,0.20317261710447307,25,0.15483632413845058
0.1,0.02458961247,800061,0.2054321150479565,25,0.15704277698261812
0.1,0.02127135859,800062,0.20470831726626584,25,0.15643709685438911
0.1,0.0142091091,800063,0.2036200194783972,25,0.15543365254145963
0.1,0.03250977608,800064,0.20670236728774855,25,0.15881913941295023
0.1,0.07151424191,800065,0.22266530693466932,25,0.17358127745669649
0.1,0.04808169009,800066,0.21216925016558508,25,0.16360094774358833
0.1,0.02517246374,800067,0.2054055884206718,25,0.1571557720015149
0.1,0.01260111688,800068,0.20368212088134877,25,0.15526289097273449
0.1,0.00726589075,800069,0.20328729428026343,25,0.15483273480157553
0.1,0.0170643507,800070,0.20412880777971623,25,0.15579303952826135
0.1,0.0387340239,800071,0.20913501929654768,25,0.16053239390660184
0.1,0.06608102918,800072,0.22006126241523521,25,0.17100911704662017
0.1,0.06640764383,800073,0.22035329274086249,25,0.17116022642075115
0.1,0.05343718018,800074,0.21472781227980933,25,0.16561356059380519
0.1,0.078149546,800075,0.22661098513643552,25,0.17690664692692873
0.1,0.03393245339,800076,0.20726447617641522,25,0.15918439370302473
0.1,0.0652103708,800077,0.21922661566695023,25,0.17061195667411699
0.1,0.03837018451,800078,0.20859224449021557,25,0.16042502921475577
0.1,0.01833772262,800079,0.20442074940002744,25,0.15597412884258274
0.1,0.02095071735,800080,0.20494547434300453,25,0.15638352638065853
0.1,0.02383549377,800081,0.20523810452839161,25,0.15689726603996593
0.1,0.08211141684,800082,0.22893211190283935,25,0.17898245546242145
0.1,0.01187032729,800083,0.20375827007212702,25,0.15518887846686008
0.1,0.04636784315,800084,0.21161616373820669,25,0.16299756932669554
0.1,0.02642177633,800085,0.20598310188774213,25,0.15741049271019897
0.1,0.03737867851,800086,0.20845159383780207,25,0.16013675543283298
0.1,0.0188835136,800087,0.20431406253055295,25,0.1560560611906088
0.1,0.06317543354,800088,0.21831389895954975,25,0.16968993514569625
0.1,0.05225432015,800089,0.21387617364925368,25,0.1651549475385137
0.1,0.05212398997,800090,0.21373891805528134,25,0.16510329152163136
0.1,0.04284405194,800091,0.21043092182536163,25,0.16181333378095072
0.1,0.009590049731,800092,0.20309447635821551,25,0.1549902012565848
0.1,0.03196449954,800093,0.20713540780952119,25,0.15868186301850162
0.1,0.0155398446,800094,0.20374082857733086,25,0.15559339619533061
0.1,0.0253371919,800095,0.2052033593847212,25,0.15718909315481433
0.1,0.02310069668,800096,0.2046840876307951,25,0.15675937077196611
0.1,0.03539712637,800097,0.2081380058589872,25,0.15957977706648271
