sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.21118058489777802,25,0.13943371690996739
0.1,0.007188864364,800001,0.20845606571171627,25,0.13680503138910333
0.1,0.0248800395,800002,0.2105364688928012,25,0.13893043505882238
0.1,0.0221793804,800003,0.21139051630131578,25,0.13846284162307465
0.1,0.01848106178,800004,0.21091830970307093,25,0.13790325770353848
0.1,0.03142242103,800005,0.21228804042538221,25,0.14028906621501377
0.1,0.0310509311,800006,0.21236654659722817,25,0.1402036425926789
0.1,0.03675466264,800007,0.21331423719762652,25,0.14161431247197601
0.1,0.03700453326,800008,0.21504878325516036,25,0.14168331741894893
0.1,0.04057261234,800009,0.21493024364727714,25,0.14267661450218855
0.1,0.02859757958,800010,0.21297238649475755,25,0.13967181133315737
0.1,0.03821258868,800011,0.21421871398104878,25,0.14200751467012798
0.1,0.0210063303,800012,0.20950899703436213,25,0.13826958099223136
0.1,0.01188283019,800013,0.2074370854545215,25,0.13714605915930628
0.1,0.04828347272,800014,0.21742057707755733,25,0.14510747625746914
0.1,0.03064076818,800015,0.21181859245250312,25,0.14011147746566766
0.1,0.03883985278,800016,0.21209194886852042,25,0.14220082632799058
0.1,0.01092681137,800017,0.21012032763541508,25,0.13706833564190676
0.1,0.004377521349,800018,0.20575869259643043,25,0.13670069008208183
0.1,0.02154861535,800019,0.20913905031683919,25,0.13835626092430872
0.1,0.03765087566,800020,0.21409496085646429,25,0.14185273004813032
0.1,0.03729671432,800021,0.2130545734445202,25,0.14176220103418982
0.1,0.004768162221,800022,0.2080044654763096,25,0.1366955254066303
0.1,0.0107195281,800023,0.20873836953768077,25,0.13704499191485284
0.1,0.03024711087,800024,0.21164277844852086,25,0.14002443932591302
0.1,0.06471081095,800025,0.22487280953813105,25,0.15143188472524319
0.1,0.04631810424,800026,0.21553885132993855,25,0.14446123411841869
0.1,0.01981325651,800027,0.20963546615825626,25,0.13808739423139607
0.1,0.01721432348,800028,0.20969698625122032,25,0.1377272974995892
0.1,0.01822256313,800029,0.21033792741117799,25,0.13786216889834255
0.1,0.02044234923,800030,0.20993212249392693,25,0.13818026837265224
0.1,0.02972990121,800031,0.21289877647569527,25,0.13991134286728343
0.1,0.02251236156,800032,0.21093820820975781,25,0.13851575057877752
0.1,0.03866941375,800033,0.21404595482926661,25,0.1421356334645055
0.1,0.05223901756,800034,0.21922770353312093,25,0.14649185399558018
0.1,0.01166163844,800035,0.20815692064601085,25,0.13712410496511931
0.1,0.01817512215,800036,0.20911669419969706,25,0.13785596743811318
0.1,0.03791306068,800037,0.21496969257804607,25,0.14192767452619737
0.1,0.0569420759,800038,0.22178441929795736,25,0.14825627273753852
0.1,0.03898905098,800039,0.21444432989820716,25,0.14222516269019544
0.1,0.01857526638,800040,0.20847698142647861,25,0.13791287100285007
0.1,0.03106607447,800041,0.21220690479702034,25,0.14020722187835899
