[2026-08-27 08:27:40] deadline 2026-08-27 09:12  (0.7 h from now)
[2026-08-27 08:27:40] running only: 04_offgrid_error
[2026-08-27 08:27:40] === 04_offgrid_error ===
[2026-08-27 08:27:54]   offgrid: 250 samples
[2026-08-27 08:28:08]   offgrid: 500 samples
[2026-08-27 08:28:22]   offgrid: 750 samples
[2026-08-27 08:28:37]   offgrid: 1000 samples
[2026-08-27 08:28:50]   offgrid: 1250 samples
[2026-08-27 08:29:04]   offgrid: 1500 samples
[2026-08-27 08:29:20]   offgrid: 1750 samples
[2026-08-27 08:29:34]   offgrid: 2000 samples
[2026-08-27 08:29:48]   offgrid: 2250 samples
[2026-08-27 08:30:03]   offgrid: 2500 samples
[2026-08-27 08:30:16]   offgrid: 2750 samples
[2026-08-27 08:30:30]   offgrid: 3000 samples
[2026-08-27 08:30:43]   offgrid: 3250 samples
[2026-08-27 08:30:56]   offgrid: 3500 samples
[2026-08-27 08:31:08]   offgrid: 3750 samples
[2026-08-27 08:31:21]   offgrid: 4000 samples
[2026-08-27 08:31:34]   offgrid: 4250 samples
[2026-08-27 08:31:46]   offgrid: 4500 samples
[2026-08-27 08:31:59]   offgrid: 4750 samples
[2026-08-27 08:32:12]   offgrid: 5000 samples
[2026-08-27 08:32:25]   offgrid: 5250 samples
[2026-08-27 08:32:38]   offgrid: 5500 samples
[2026-08-27 08:32:51]   offgrid: 5750 samples
[2026-08-27 08:33:05]   offgrid: 6000 samples
[2026-08-27 08:33:18]   offgrid: 6250 samples
[2026-08-27 08:33:32]   offgrid: 6500 samples
[2026-08-27 08:33:45]   offgrid: 6750 samples
[2026-08-27 08:34:00]   offgrid: 7000 samples
[2026-08-27 08:34:13]   offgrid: 7250 samples
[2026-08-27 08:34:26]   offgrid: 7500 samples
[2026-08-27 08:34:39]   offgrid: 7750 samples
[2026-08-27 08:34:52]   offgrid: 8000 samples
[2026-08-27 08:35:04]   offgrid: 8250 samples
[2026-08-27 08:35:16]   offgrid: 8500 samples
[2026-08-27 08:35:29]   offgrid: 8750 samples
[2026-08-27 08:35:41]   offgrid: 9000 samples
[2026-08-27 08:35:53]   offgrid: 9250 samples
[2026-08-27 08:36:05]   offgrid: 9500 samples
[2026-08-27 08:36:17]   offgrid: 9750 samples
[2026-08-27 08:36:29]   offgrid: 10000 samples
[2026-08-27 08:36:41]   offgrid: 10250 samples
[2026-08-27 08:36:53]   offgrid: 10500 samples
[2026-08-27 08:37:05]   offgrid: 10750 samples
[2026-08-27 08:37:17]   offgrid: 11000 samples
[2026-08-27 08:37:29]   offgrid: 11250 samples
[2026-08-27 08:37:41]   offgrid: 11500 samples
[2026-08-27 08:37:53]   offgrid: 11750 samples
[2026-08-27 08:38:05]   offgrid: 12000 samples
[2026-08-27 08:38:18]   offgrid: 12250 samples
[2026-08-27 08:38:30]   offgrid: 12500 samples
[2026-08-27 08:38:43]   offgrid: 12750 samples
[2026-08-27 08:38:56]   offgrid: 13000 samples
[2026-08-27 08:39:08]   offgrid: 13250 samples
[2026-08-27 08:39:20]   offgrid: 13500 samples
[2026-08-27 08:39:33]   offgrid: 13750 samples
[2026-08-27 08:39:45]   offgrid: 14000 samples
[2026-08-27 08:39:58]   offgrid: 14250 samples
[2026-08-27 08:40:09]   offgrid: 14500 samples
[2026-08-27 08:40:21]   offgrid: 14750 samples
[2026-08-27 08:40:34]   offgrid: 15000 samples
[2026-08-27 08:40:46]   offgrid: 15250 samples
[2026-08-27 08:40:58]   offgrid: 15500 samples
[2026-08-27 08:41:10]   offgrid: 15750 samples
[2026-08-27 08:41:23]   offgrid: 16000 samples
[2026-08-27 08:41:35]   offgrid: 16250 samples
[2026-08-27 08:41:47]   offgrid: 16500 samples
[2026-08-27 08:42:00]   offgrid: 16750 samples
[2026-08-27 08:42:12]   offgrid: 17000 samples
[2026-08-27 08:42:24]   offgrid: 17250 samples
[2026-08-27 08:42:37]   offgrid: 17500 samples
[2026-08-27 08:42:49]   offgrid: 17750 samples
[2026-08-27 08:43:01]   offgrid: 18000 samples
[2026-08-27 08:43:13]   offgrid: 18250 samples
[2026-08-27 08:43:25]   offgrid: 18500 samples
[2026-08-27 08:43:37]   offgrid: 18750 samples
[2026-08-27 08:43:50]   offgrid: 19000 samples
[2026-08-27 08:44:02]   offgrid: 19250 samples
[2026-08-27 08:44:14]   offgrid: 19500 samples
[2026-08-27 08:44:26]   offgrid: 19750 samples
[2026-08-27 08:44:38]   offgrid: 20000 samples
